,number,to,id,from,bin_dist.mean,bin_dist.std,bin_dist.med,bin_dist.min,bin_dist.max,set_matches
0,1,0,4,2,3.0,0.0,3.0,3,3,0.0
0,3,1,4,1,3.75,1.3919410907075054,4.0,0,8,
0,1,2,4,1,3.3333333333333335,1.247219128924647,3.0,2,5,0.0
0,1,1,4,2,2.0,0.0,2.0,2,2,0.0
0,1,2,4,2,4.5,1.5,4.5,0,9,
0,1,0,5,0,4.5,1.5,4.5,0,9,
0,121,1,5,0,2.0,0.0,2.0,2,2,0.0
0,121,0,5,1,4.776859504132231,1.2823506521762853,5.0,2,8,0.0
0,1,2,5,0,3.0,0.0,3.0,3,3,0.0
0,1,0,5,2,3.0,0.0,3.0,3,3,0.0
0,121,1,5,1,1.0546875,0.7427629348208956,1.0,0,3,
0,1,2,5,1,3.975206611570248,1.3013839417801456,4.0,1,7,0.0
0,1,1,5,2,1.0,0.0,1.0,1,1,0.0
0,1,2,5,2,4.5,1.5,4.5,0,9,
0,3,0,6,0,3.75,1.3919410907075054,4.0,0,8,
0,2,1,6,0,3.3333333333333335,0.4714045207910317,3.0,3,4,0.0
0,2,0,6,1,3.5,0.5,3.5,3,4,0.0
0,2,2,6,0,3.6666666666666665,0.4714045207910317,4.0,3,4,0.0
0,2,0,6,2,3.5,0.5,3.5,3,4,0.0
0,2,1,6,1,4.0,1.4142135623730951,4.0,0,8,
0,2,2,6,1,4.5,0.5,4.5,4,5,0.0
0,2,1,6,2,4.5,0.5,4.5,4,5,0.0
0,2,2,6,2,4.0,1.4142135623730951,4.0,0,8,
0,4,0,7,0,3.5,1.3228756555322954,3.5,0,7,
0,2,1,7,0,3.5,0.5,3.5,3,4,0.0
0,2,0,7,1,3.0,0.0,3.0,3,3,0.0
0,2,2,7,0,3.5,0.5,3.5,3,4,0.0
0,2,0,7,2,3.0,0.0,3.0,3,3,0.0
0,2,1,7,1,4.0,1.4142135623730951,4.0,0,8,
0,2,2,7,1,2.0,0.0,2.0,2,2,0.0
0,2,1,7,2,2.0,0.0,2.0,2,2,0.0
0,2,2,7,2,4.0,1.4142135623730951,4.0,0,8,
0,4,0,8,0,3.5,1.3228756555322954,3.5,0,7,
0,8,1,8,0,2.0,0.0,2.0,2,2,0.0
0,8,0,8,1,2.5,0.5,2.5,2,3,0.0
0,8,2,8,0,2.0,0.0,2.0,2,2,0.0
0,8,0,8,2,2.5,0.5,2.5,2,3,0.0
0,8,1,8,1,3.0,1.224744871391589,3.0,0,6,
0,8,2,8,1,4.0,0.0,4.0,4,4,0.0
0,8,1,8,2,4.0,0.0,4.0,4,4,0.0
0,8,2,8,2,3.0,1.224744871391589,3.0,0,6,
0,1,0,9,0,4.5,1.5,4.5,0,9,
0,1,1,9,0,5.0,0.0,5.0,5,5,0.0
0,1,0,9,1,5.0,0.0,5.0,5,5,0.0
0,1,2,9,0,3.0,0.0,3.0,3,3,0.0
0,1,0,9,2,3.0,0.0,3.0,3,3,0.0
0,1,1,9,1,4.5,1.5,4.5,0,9,
0,1,2,9,1,2.0,0.0,2.0,2,2,0.0
0,1,1,9,2,2.0,0.0,2.0,2,2,0.0
0,1,2,9,2,4.5,1.5,4.5,0,9,
